art_style,painting,utterance
Naive_Art_Primitivism,raoul-dufy_races-with-goodwwood-1930,A large group of people joined together for what looks to be an event with horses.
Abstract_Expressionism,theodoros-stamos_infinity-field-lefkada-series-1980(2),"Landscape of red, purple, and green surface and a body of water."
Romanticism,dante-gabriel-rossetti_elizabeth-siddal-seated-in-a-chair-1860,A girl with her eyes closed wearing some sort of weird looking white costume.
Romanticism,gustave-dore_the-inferno-canto-34,Two people in robes and crowns standing on a rock staring out of the crevice of a cave.
Mannerism_Late_Renaissance,el-greco_apostle-st-andrew-1,"An elderly man wearing robes while carrying a wood plank, and holding up his hand."
High_Renaissance,raphael_portrait-of-maddalena-doni-1506,"A woman wears a red dress, a purple shawl, a black headband, and a necklace."
Abstract_Expressionism,mark-tobey_untitled,"Tangled, thin wires and metals in silver, gold, and blue."
Realism,thomas-eakins_photograph-1910-23,Ten women surround a platform where a older man dressed in black holding a cane is sitting!
Realism,camille-corot_children-beside-a-brook-in-the-countryside-lormes,Three children are out in a field; cows are grazing behind them
Northern_Renaissance,joachim-wtewael_charity-1627,"A nursing mother with a bare breast sits with a naked infant on her lap. She is surrounded by naked children and one clothed girl behind her. The woman holds a piece of fruit, and a basket of fruit is behind her."
Baroque,francesco-guardi_view-of-the-island-of-san-giorgio-in-alga-venice,Several small boats are being paddled across the water next to a rather tall looking building.
Symbolism,jacek-malczewski_in-the-dust-cloud,A group of people are having a ruckus in a field of wheat.
Romanticism,lev-lagorio_on-the-island-of-capri-coastal-cliffs-1859,A small fishing community enjoys the open see and the protection of great cliffs.
Realism,ivan-shishkin_pine-forest-1889,Black and white drawing very detailed. Of tall trees. The entrance of the woods where you can see the path of trees ahead.
Realism,vasily-vereshchagin_picket-on-the-danube-1879,Two men are at the edge of a lake...one staring outward and one is working on something.
Symbolism,konstantin-somov_after-the-storm,People tending a garden and clouds turning dark and grey.
Impressionism,nikolay-bogdanov-belsky_in-the-church,Religious gathering of children with candles with religious symbols on the walls and in front of the children
Abstract_Expressionism,sam-francis_untitled-sfp53-31-1953,"A blue painting with some different shades of blue and white, on the edges you can see some dar blue"
Symbolism,konstantin-somov_lovers-evening-1910,A lady lounges on her lover's lap as he kisses her on the check.
Post_Impressionism,bertalan-por_bulls-1948,"Three cows one dark brown, white, and tan. The owner is standing right next to it's cows. The background is blue as the ground is dark blue as a hint of green."
Post_Impressionism,tom-thomson_morning-cloud-1913,A lake with trees and hills on the other side.
Fauvism,charles-lapicque_l-hiver-dans-les-bois-1965,A path and foliage rendered in childlike composition and bright colors.
Impressionism,edgar-degas_woman-with-an-umbrella,A man with a furry hat stands with his arms drawn together.
Post_Impressionism,nikola-tanev_karlovsko-palace-1932,Servers are waiting for their afternoon guests at a shady cantina.
Realism,andrei-ryabushkin_village-wedding-in-the-tambov-province,The clothes indicate it is an old drawing. Older man at the head of table with generations of his family in a small barn or stable structure.
Expressionism,martiros-saryan_portrait-of-poet-anna-akhmatova-1946,white background. A lady wearing a black shirt. The lady is an older woman starring to the left. She is wearing red lipstick. She has gray hair. Wearing a long necklace
Northern_Renaissance,gerard-david_the-rest-on-the-flight-into-egypt-1,"A woman wearing a long blue dress is sitting down on some rocks  with a baby on her arms, the baby is holding some grapes."
Romanticism,gustave-dore_don-quixote-84,a lion behind bars below that a group of men sitting around
Baroque,caravaggio_salome-with-the-head-of-john-the-baptist-1609(1),There is a lot of pain in the faces of the people.
Post_Impressionism,david-burliuk_still-life-with-a-jug,"This painting shows a seascape with light blue and soft white cloudiness and a hint of the sun at the horizon. The ocean is blue with a bit of white spray where the water meets the beach. The sandy beach is shown across the bottom of the painting and extends in a triangle covering the bottom right of the painting. On the sandy beach there is a delicate, clear glass vase and a white pitcher with a detailed handle. These two vessels are surrounded by a variey of light colored seashells and three birds are seen in the distance (closer to the water). The vessels are filled with a variety of flowers: white daffodils, yellow daffodils, and other orange, red, and white flowers. Green leaves and stems add a contrast to the bright flowers."
Minimalism,john-mccracken_the-absolutely-naked-fragrance-1967,A simple pink monolith is placed against the wall.
Baroque,jan-siberechts_a-view-of-longleat-1675,2 big fountain in front of a big beautiful house.
Baroque,rembrandt_adoration-of-the-magi-1632,A woman holding a baby in her lap while an elderly man kneels before the baby with other people in the background.
Realism,ivan-shishkin_after-the-rain-etude-of-the-forest-1881,A little lake in the middle of a forest.
Romanticism,francisco-goya_spanish-entertainment-1825,"People gathered at a bull fight arena watching a bull fight, with a man on the ground under a bull."
Naive_Art_Primitivism,henri-rousseau_family-fishing-1895,Victorian era. A summer afternoon at the lake with the family. Taking in the fair day by fishing and a boat ride.
Northern_Renaissance,albrecht-altdorfer_beautiful-mary-in-the-church-1519,The Madonna and Child are depicted standing on the stone floor of a gothic church with arched windows. Mother Mary and Christ have large halos and serene expressions.
Naive_Art_Primitivism,marc-chagall_jeremiah-1956,A man with a yellow beard and dressed in a green robe sits on a rock next to a donkey.
Impressionism,valentin-serov_serov-s-children-yuri-and-sasha-1904,Sketch using charcoal or oil pastels. The children of the industrial revolution when they didn't get a chance to play and be children and had to earn their keep or in charge of feeding their families.
Impressionism,t.-c.-steele_the-house-of-the-singing-winds,"A wooden house in the woods, with a landscape of tall trees."
Romanticism,adolphe-joseph-thomas-monticelli_the-precious-ridiculous-1883,Two women among a very colorful rainbow background.
Impressionism,john-henry-twachtman_hollyhocks-1,"A cottage with a path leading to the door, and a shrub blooming with flowers"
Art_Nouveau_Modern,nicholas-roerich_the-scene-with-three-figures-in-costumes-1920-1,"Two men dancing and playing musical instruments, while a man is sitting playing an instrument."
Art_Nouveau_Modern,nicholas-roerich_vernicle-1912,Jesus is watching you as you enter the house of worship.
Baroque,joseph-wright_self-portrait-1,"A man wearing a brown suit coat and a black, wide-brim hat."
Symbolism,nicholas-roerich_young-moon,The crescent moon overlooks many ridges of mountains.
Expressionism,amedeo-modigliani_sitting-man-on-orange-background-1918,A balding man in a dark suit and tie standing in a relaxed pose.
Northern_Renaissance,dirk-bouts_altarpiece-of-the-holy-sacrament,5 separate portraits of various men wearing red.
Ukiyo_e,utagawa-kuniyoshi_heroes-of-china-and-japan,A monstrous creature pulling the hair of a man holding a sword.
Post_Impressionism,moise-kisling_girl-with-green-shawl-1919,A woman pulls a green cloak tightly around her.
Northern_Renaissance,pieter-bruegel-the-elder_greed,A drwaing with different sittuations on a weird kind of word with weird creatures and people acting weird
Pop_Art,andy-warhol_knives-1982,Three long carving knives lay across each other.
Mannerism_Late_Renaissance,tintoretto_self-portrait,"The picture is very dark, and is of a male. What contrasts with the backround is the pigment of the males face."
Minimalism,walter-de-maria_broken-kilometer-1979,A manufacturer with long golden poles on the floor.
Realism,vasily-vereshchagin_gate-near-the-qutub-minar-old-delhi-1875,A man in a white tunic and white hat is standing on the stairs of a pink ornamented building.
Realism,odilon-redon_bouquet-of-flowers-in-a-green-vase,"A bouquet of brilliant, bright flowers sits in a green vase"
Mannerism_Late_Renaissance,giorgio-vasari_stoning-of-st-stephen,People holding stones over thier heads in a circle with someone in kneeling in the middle of the circle.
Cubism,salvador-dali_neo-cubist-academy-composition-with-three-figures,"Three scantily clad people, two women and one man relax near each other."
Impressionism,pierre-auguste-renoir_self-portrait-2,Reminds me of a rembrandt drawing. Maybe someone is doing a self portrait. He is using sober colors and is an old man looking directly at us. He looks self assured and wise.
Realism,vladimir-makovsky_the-choice-of-wedding-presents-1898,"Four people gather in front of a shop front, one holding boxes and one displaying purchases."
Impressionism,camille-pissarro_seated-peasant-woman,A lady on top of a hill sitting under a tree. wearing a white top and long blue dress like. The background is a house with tress.
Abstract_Expressionism,robert-nickle_untitled-black-on-orange-1969,Various squares and rectangles of various shades of gray and black are stuck together to form a square with a black frame around which appears to be handing on a magenta wall.
Baroque,david-teniers-the-younger_a-smoker-leaning-on-a-table-1643,A man sitting at a table in a period restaurant or bar.
Symbolism,nicholas-roerich_venta-finland-1907,Water is shown in an icy blue color with land that has a tree.
Rococo,jean-baptiste-simeon-chardin_the-besorgerin-1739,The lady is carrying groceries and entering her house now.
Expressionism,pablo-picasso_the-brutal-embrace-1900,A man and woman dancing. The man is wearing a black suit. The women is wearing a red skirt and a green tube top. I believe they are outside with a pan on the ground.
Pop_Art,patrick-procktor_ossie-gervase-and-eric-from-invitation-to-a-voyage-portfolio-of-5-aquatints-1969,"A woman seated with her knees up, surrounded by potted plants, and two other people."
Naive_Art_Primitivism,niki-de-sainte-phalle_adriana-1966,"A sculpture of a man sits on a blank background, and the man sits with his legs open. The man has a lot of body paint on him"
Symbolism,nicholas-roerich_sandoling-lamayura,A villiage built at the base of the mountains.
Impressionism,pierre-auguste-renoir_girl-wiping-her-feet,A young woman sits by a pond and cleans off her feet with a white cloth.
Ukiyo_e,katsushika-hokusai_the-fuji-from-kanaya-on-the-tokaido,Many people seem to be riding the waves in the water; a mountain is in the backdrop.
